program,threads,image,image_size,time_sec,time_tolerance_sec,io
mandelbrot_pth,4,seahorse.log,64,0.002612,0.000113,0
mandelbrot_pth,4,seahorse.log,128,0.007539,0.000155,0
mandelbrot_pth,4,seahorse.log,256,0.0275814,2.44e-05,0
mandelbrot_pth,4,seahorse.log,512,0.108591,0.000212,0
mandelbrot_pth,4,seahorse.log,1024,0.42831,0.0012,0
mandelbrot_pth,4,seahorse.log,2048,1.76671,0.00251,0
mandelbrot_pth,4,seahorse.log,4096,7.0848,0.00748,0
mandelbrot_pth,4,seahorse.log,8192,28636,139,0
mandelbrot_pth,4,triple_spiral.log,16,0.0008368,4.31e-05,0
mandelbrot_pth,4,triple_spiral.log,32,0.0013538,6.98e-05,0
mandelbrot_pth,4,triple_spiral.log,64,0.003139,0.000179,0
mandelbrot_pth,4,triple_spiral.log,128,0.008023,0.000268,0
mandelbrot_pth,4,triple_spiral.log,256,0.0294,0.000154,0
mandelbrot_pth,4,triple_spiral.log,512,0.114915,0.000527,0
mandelbrot_pth,4,triple_spiral.log,1024,0.480838,0.000919,0
mandelbrot_pth,4,triple_spiral.log,2048,1.95165,0.00695,0
mandelbrot_pth,4,triple_spiral.log,4096,7.7568,0.0163,0
mandelbrot_pth,4,triple_spiral.log,8192,31002,105,0
mandelbrot_pth,6,elephant.log,16,0.0008751,6.38e-05,0
mandelbrot_pth,6,elephant.log,32,0.0012665,4.87e-05,0
mandelbrot_pth,6,elephant.log,64,0.0028889,5.45e-05,0
mandelbrot_pth,6,elephant.log,128,0.008183,0.000122,0
mandelbrot_pth,6,elephant.log,256,0.029376,0.000328,0
mandelbrot_pth,6,elephant.log,512,0.10382,0.00181,0
mandelbrot_pth,6,elephant.log,1024,0.40995,0.00491,0
mandelbrot_pth,6,elephant.log,2048,1.5922,0.0155,0
mandelbrot_pth,6,elephant.log,4096,6.4237,0.0483,0
mandelbrot_pth,6,elephant.log,8192,25.5367,0.0743,0
mandelbrot_pth,6,full.log,16,0.0007729,4.06e-05,0
mandelbrot_pth,6,full.log,32,0.0008767,6.89e-05,0
mandelbrot_pth,6,full.log,64,0.0012161,3.13e-05,0
mandelbrot_pth,6,full.log,128,0.0026775,4E-05,0
mandelbrot_pth,6,full.log,256,0.0081538,8.72e-05,0
mandelbrot_pth,6,full.log,512,0.030121,0.000433,0
mandelbrot_pth,6,full.log,1024,0.1181,1,0
mandelbrot_pth,6,full.log,2048,0.4387,0.00146,0
mandelbrot_pth,6,full.log,4096,1.75416,0.00474,0
mandelbrot_pth,6,full.log,8192,7.0031,0.0133,0
mandelbrot_pth,6,seahorse.log,16,0.0008413,2.17e-05,0
mandelbrot_pth,6,seahorse.log,32,0.0013528,3.94e-05,0
mandelbrot_pth,6,seahorse.log,64,0.002817,0.000109,0
mandelbrot_pth,6,seahorse.log,128,0.008053,0.00011,0
mandelbrot_pth,6,seahorse.log,256,0.027779,0.000345,0
mandelbrot_pth,6,seahorse.log,512,0.105543,0.000932,0
mandelbrot_pth,6,seahorse.log,1024,0.4287,0.00488,0
mandelbrot_pth,6,seahorse.log,2048,1.6858,0.0105,0
mandelbrot_pth,6,seahorse.log,4096,6.7682,0.0286,0
mandelbrot_pth,6,seahorse.log,8192,27.2838,0.0975,0
mandelbrot_pth,6,triple_spiral.log,16,0.0008755,2.26e-05,0
mandelbrot_pth,6,triple_spiral.log,32,0.0014133,4.91e-05,0
mandelbrot_pth,6,triple_spiral.log,64,0.003325,0.000174,0
mandelbrot_pth,6,triple_spiral.log,128,0.009046,0.000164,0
mandelbrot_pth,6,triple_spiral.log,256,0.03365,0.00063,0
mandelbrot_pth,6,triple_spiral.log,512,0.12301,0.0011,0
mandelbrot_pth,6,triple_spiral.log,1024,0.47945,0.00447,0
mandelbrot_pth,6,triple_spiral.log,2048,1.8796,0.0162,0
mandelbrot_pth,6,triple_spiral.log,4096,7.5075,0.0197,0
mandelbrot_pth,6,triple_spiral.log,8192,30083,111,0
mandelbrot_pth,8,elephant.log,16,0.001079,0.000232,0
mandelbrot_pth,8,elephant.log,32,0.001288,3.79e-05,0
mandelbrot_pth,8,elephant.log,64,0.00279,0.00015,0
mandelbrot_pth,8,elephant.log,128,0.007419,0.000128,0
mandelbrot_pth,8,elephant.log,256,0.026088,0.00026,0
mandelbrot_pth,8,elephant.log,512,0.10126,0.00124,0
mandelbrot_pth,8,elephant.log,1024,0.39967,0.00289,0
mandelbrot_pth,8,elephant.log,2048,1579,0.00546,0
mandelbrot_pth,8,elephant.log,4096,6283,0.0216,0
mandelbrot_pth,8,elephant.log,8192,25.1774,0.0392,0
mandelbrot_pth,8,full.log,16,0.0007936,2.48e-05,0
mandelbrot_pth,8,full.log,32,0.0008636,2.62e-05,0
mandelbrot_pth,8,full.log,64,0.0013202,3.03e-05,0
mandelbrot_pth,8,full.log,128,0.002761,0.000117,0
mandelbrot_pth,8,full.log,256,0.007476,0.000125,0
mandelbrot_pth,8,full.log,512,0.027368,0.000304,0
mandelbrot_pth,8,full.log,1024,0.10797,0.00143,0
mandelbrot_pth,8,full.log,2048,0.41927,0.00167,0
mandelbrot_pth,8,full.log,4096,1.68064,0.0065,0
mandelbrot_pth,8,full.log,8192,6.5699,0.0124,0
mandelbrot_pth,8,seahorse.log,16,0.001084,0.000161,0
mandelbrot_pth,8,seahorse.log,32,0.0013576,5.87e-05,0
mandelbrot_pth,8,seahorse.log,64,0.00278,0.000107,0
mandelbrot_pth,8,seahorse.log,128,0.007539,0.00023,0
mandelbrot_pth,8,seahorse.log,256,0.026648,0.000166,0
mandelbrot_pth,8,seahorse.log,512,0.101385,0.000564,0
mandelbrot_pth,8,seahorse.log,1024,0.41312,0.0016,0
mandelbrot_pth,8,seahorse.log,2048,1.64975,0.00456,0
mandelbrot_pth,8,seahorse.log,4096,6671,0.0228,0
mandelbrot_pth,8,seahorse.log,8192,26276,116,0
mandelbrot_pth,8,triple_spiral.log,16,0.000874,1.93e-05,0
mandelbrot_pth,8,triple_spiral.log,32,0.0013458,4.48e-05,0
mandelbrot_pth,8,triple_spiral.log,64,0.0029892,7.19e-05,0
mandelbrot_pth,8,triple_spiral.log,128,0.008027,0.000113,0
mandelbrot_pth,8,triple_spiral.log,256,0.029976,0.000452,0
mandelbrot_pth,8,triple_spiral.log,512,0.117597,0.000543,0
mandelbrot_pth,8,triple_spiral.log,1024,0.46577,0.00241,0
mandelbrot_pth,8,triple_spiral.log,2048,1.85588,0.00623,0
mandelbrot_pth,8,triple_spiral.log,4096,7433,0.0293,0
mandelbrot_pth,8,triple_spiral.log,8192,29761,103,0
mandelbrot_pth,16,elephant.log,16,0.000977,3.21e-05,0
mandelbrot_pth,16,elephant.log,32,0.001299,2.04e-05,0
mandelbrot_pth,16,elephant.log,64,0.0025724,3.74e-05,0
mandelbrot_pth,16,elephant.log,128,0.007336,0.00014,0
mandelbrot_pth,16,elephant.log,256,0.025288,0.000246,0
mandelbrot_pth,16,elephant.log,512,0.099812,0.00028,0
mandelbrot_pth,16,elephant.log,1024,0.39739,0.00193,0
mandelbrot_pth,16,elephant.log,2048,1.56882,0.00283,0
mandelbrot_pth,16,elephant.log,4096,6.2831,0.0111,0
mandelbrot_pth,16,elephant.log,8192,25.0011,0.0512,0
mandelbrot_pth,16,full.log,16,0.0009707,4.55e-05,0
mandelbrot_pth,16,full.log,32,0.0010097,3.91e-05,0
mandelbrot_pth,16,full.log,64,0.0013616,8.59e-05,0
mandelbrot_pth,16,full.log,128,0.0026104,5.44e-05,0
mandelbrot_pth,16,full.log,256,0.007244,0.000137,0
mandelbrot_pth,16,full.log,512,0.025893,0.000456,0
mandelbrot_pth,16,full.log,1024,0.097972,0.000636,0
mandelbrot_pth,16,full.log,2048,0.38615,0.00501,0
mandelbrot_pth,16,full.log,4096,1.50347,0.00782,0
mandelbrot_pth,16,full.log,8192,5.9347,0.0224,0
mandelbrot_pth,16,seahorse.log,16,0.001241,0.000238,0
mandelbrot_pth,16,seahorse.log,32,0.0014198,9.28e-05,0
mandelbrot_pth,16,seahorse.log,64,0.0028452,9.38e-05,0
mandelbrot_pth,16,seahorse.log,128,0.0073266,6.3e-05,0
mandelbrot_pth,16,seahorse.log,256,0.026406,0.000216,0
mandelbrot_pth,16,seahorse.log,512,0.103887,0.000681,0
mandelbrot_pth,16,seahorse.log,1024,0.414151,0.000782,0
mandelbrot_pth,16,seahorse.log,2048,1.65658,0.00261,0
mandelbrot_pth,16,seahorse.log,4096,6.5526,0.0176,0
mandelbrot_pth,16,seahorse.log,8192,26308,108,0
mandelbrot_pth,16,triple_spiral.log,16,0.00108,9.59e-05,0
mandelbrot_pth,16,triple_spiral.log,32,0.0015586,8.61e-05,0
mandelbrot_pth,16,triple_spiral.log,64,0.0030283,7.29e-05,0
mandelbrot_pth,16,triple_spiral.log,128,0.008536,0.000137,0
mandelbrot_pth,16,triple_spiral.log,256,0.02999,0.000227,0
mandelbrot_pth,16,triple_spiral.log,512,0.117869,0.000657,0
mandelbrot_pth,16,triple_spiral.log,1024,0.47145,0.00187,0
mandelbrot_pth,16,triple_spiral.log,2048,1.8632,0.00324,0
mandelbrot_pth,16,triple_spiral.log,4096,7.43069,0.00953,0
mandelbrot_pth,16,triple_spiral.log,8192,29.5858,0.0744,0
mandelbrot_pth,32,elephant.log,16,0.0015847,4.86e-05,0
mandelbrot_pth,32,elephant.log,32,0.0016164,4.08e-05,0
mandelbrot_pth,32,elephant.log,64,0.0028816,7.17e-05,0
mandelbrot_pth,32,elephant.log,128,0.007512,0.000133,0
mandelbrot_pth,32,elephant.log,256,0.024863,0.000186,0
mandelbrot_pth,32,elephant.log,512,0.098477,0.000169,0
mandelbrot_pth,32,elephant.log,1024,0.387487,0.000534,0
mandelbrot_pth,32,elephant.log,2048,1.55107,0.00465,0
mandelbrot_pth,32,elephant.log,4096,6.2569,0.0116,0
mandelbrot_pth,32,elephant.log,8192,24.8874,0.0643,0
mandelbrot_pth,32,full.log,16,0.0013877,7.72e-05,0
mandelbrot_pth,32,full.log,32,0.001658,0.000238,0
mandelbrot_pth,32,full.log,64,0.0016073,7.39e-05,0
mandelbrot_pth,32,full.log,128,0.0028039,4.96e-05,0
mandelbrot_pth,32,full.log,256,0.0071196,9.82e-05,0
mandelbrot_pth,32,full.log,512,0.023948,0.000139,0
mandelbrot_pth,32,full.log,1024,0.092235,0.000605,0
mandelbrot_pth,32,full.log,2048,0.35891,0.00149,0
mandelbrot_pth,32,full.log,4096,1.43266,0.00688,0
mandelbrot_pth,32,full.log,8192,5.7124,14,0
mandelbrot_pth,32,seahorse.log,16,0.001585,2.9e-05,0
mandelbrot_pth,32,seahorse.log,32,0.0016142,3.56e-05,0
mandelbrot_pth,32,seahorse.log,64,0.0029736,7.5e-05,0
mandelbrot_pth,32,seahorse.log,128,0.007845,0.00018,0
mandelbrot_pth,32,seahorse.log,256,0.025978,0.000195,0
mandelbrot_pth,32,seahorse.log,512,0.103201,0.000348,0
mandelbrot_pth,32,seahorse.log,1024,0.407406,0.00077,0
mandelbrot_pth,32,seahorse.log,2048,1.60975,0.00546,0
mandelbrot_pth,32,seahorse.log,4096,6564,16,0
mandelbrot_pth,32,seahorse.log,8192,26.2744,0.0827,0
mandelbrot_pth,32,triple_spiral.log,16,0.001784,0.000148,0
mandelbrot_pth,32,triple_spiral.log,32,0.0016871,3.25e-05,0
mandelbrot_pth,32,triple_spiral.log,64,0.0032741,5.27e-05,0
mandelbrot_pth,32,triple_spiral.log,128,0.008497,0.000153,0
mandelbrot_pth,32,triple_spiral.log,256,0.029429,0.000209,0
mandelbrot_pth,32,triple_spiral.log,512,0.116515,0.000559,0
mandelbrot_pth,32,triple_spiral.log,1024,0.46067,0.00205,0
mandelbrot_pth,32,triple_spiral.log,2048,1.85458,0.00308,0
mandelbrot_pth,32,triple_spiral.log,4096,7.4256,0.0102,0
mandelbrot_pth,32,triple_spiral.log,8192,29.5731,0.0949,0
mandelbrot_omp,1,elephant.log,16,0.0009355,2.56e-05,1
mandelbrot_omp,1,elephant.log,32,0.0018358,4.59e-05,1
mandelbrot_omp,1,elephant.log,64,0.0052333,2.36e-05,1
mandelbrot_omp,1,elephant.log,128,0.018876,0.000107,1
mandelbrot_omp,1,elephant.log,256,0.0715776,5.59e-05,1
mandelbrot_omp,1,elephant.log,512,0.282692,0.000144,1
mandelbrot_omp,1,elephant.log,1024,1.124971,0.000649,1
mandelbrot_omp,1,elephant.log,2048,4.5397,0.0106,1
mandelbrot_omp,1,elephant.log,4096,18.0812,0.0129,1
mandelbrot_omp,1,elephant.log,8192,72.2834,0.0348,1
mandelbrot_omp,1,full.log,16,0.0007202,1.57e-05,1
mandelbrot_omp,1,full.log,32,0.0008937,3.9e-05,1
mandelbrot_omp,1,full.log,64,0.00262,0.00102,1
mandelbrot_omp,1,full.log,128,0.0043074,6.64e-05,1
